Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
C14,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C43,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C78,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C112,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C129,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C156,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C57,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C53,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C142,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C137,mlcc capacitor,330pF,1206Standard,VJ1206Y331KXXCW1BC,,,,,
C50,mlcc capacitor,xxx,1206Standard,DO NOT POPULATE,,,,,
C54,mlcc capacitor,xxx,1206Standard,DO NOT POPULATE,,,,,
C58,mlcc capacitor,xxx,1206Standard,DO NOT POPULATE,,,,,
C1,mlcc capacitor,xxx,1206Standard,DO NOT POPULATE,,,,,
C160,mlcc capacitor,xxx,1206Standard,DO NOT POPULATE,,,,,
C3,electrolytic cap,150-220uF 25v,cap015LS,UHE1E221MPD,,,,,
C4,electrolytic cap,470uF 50v,USER,UPW1H471MHD,,,,,
L1,ChokeCommonMode,,,SRF0905-102Y,,,,,
XTAL1,crystal,7.3728MHz 20pF,,ECS-73-20-4XDN,,,,,
U3,dc-dc converter,MEV1S2405,,MEV1S2405SC,,,,,
D23,schottky diode,SS26FL,SOD123w,SS26FL,,,,,
D28,schottky diode,SS26FL,SOD123w,SS26FL,,,,,
D27,schottky diode,SS26FL,SOD123w,SS26FL,,,,,
D24,schottky diode,SS26FL,SOD123w,SS26FL,,,,,
U18,dspic30f4011,DSPIC30F4011-30I/PT,TQFP44,DSPIC30F4011-30I/PT,,,,,
U23,FTDI_FT232RL,,SSOP,FT232RL-REEL,,,,,
F1,Fuse,AF1206F1.60TM,1206,AF1206F1.60TM,,,,,
U6,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U11,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U24,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U19,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U33,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U29,GateDriveOptoWithReset,FOD8316,SOIC16,FOD8316R2V,,,,,
U31,HCNR200,HCNR200-300E,GullWing,HCNR200-300E,,,,,
ISP,ISP-Interface,,USER,3-644456-6,,,,,
ENCODER,6 pin male,,USER,22-04-1061,,,,,
,6 pin female,,,22-01-1062,,,,,
U1,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
U14,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
U16,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
U25,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
U27,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
U34,dual mosfet driver,IXDI604SI,soic8_heat_tab,IXDI604SI,,,,,
CURR1,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
CURR3,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
CURR2,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
TEMP,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
REV,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
CAN,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
BRK,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
THR,3 pin connector,3pin Vert Lock,USER,22-04-1031,,,,,
,female housing 2 OF THESE!!,,,10-11-2153,,,,,
TRANS1,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
TRANS2,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
TRANS3,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
TRANS4,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
TRANS5,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
TRANS6,Line Filter,,13x10mmHoles,PLA10AS3021R3R2B,,,,,
U5,comparator,LM293DR,soic8,LM293DR,,,,,
